Year,State,County ANSI,Value,Type
2017,s17,c187,246.7,C
2018,s17,c041,246,C
2018,s17,c147,241.8,C
2018,s17,c187,241.7,C
2019,s13,c165,240,C
2018,s17,c115,239.9,C
2017,s17,c131,238.7,C
2017,s17,c015,238,C
2018,s17,c167,236.4,C
2018,s17,c107,236.2,C
2016,s17,c179,236,C
2014,s17,c115,236,C
2018,s17,c179,235.4,C
2018,s17,c049,235.2,C
2014,s17,c147,235.2,C
2019,s19,c047,234.7,C
2018,s17,c029,234.3,C
2018,s17,c175,234,C
2018,s17,c139,233.9,C
2018,s17,c067,233.8,C
2018,s31,c047,233.5,C
2010,s48,c341,233.2,C
2018,s17,c021,232.9,C
2016,s17,c203,232.8,C
2016,s17,c015,231.9,C
2018,s17,c131,231.3,C
2014,s17,c107,230.8,C
2017,s17,c123,230.7,C
2017,s17,c175,230.4,C
2011,s13,c253,229.9,C
2017,s17,c095,229.5,C
2018,s17,c113,229.3,C
2016,s17,c187,229.2,C
2018,s17,c143,228.9,C
2018,s17,c109,228.9,C
2018,s17,c137,228.5,C
2018,s31,c137,228.5,C
2017,s17,c179,227.9,C
2017,s17,c143,227.7,C
2014,s17,c167,226.8,C
2018,s17,c095,226.5,C
2018,s19,c127,226,C
2016,s17,c141,225.9,C
2016,s17,c175,225.7,C
2018,s17,c173,225.4,C
2018,s19,c075,225.2,C
2017,s17,c161,225.2,C
2018,s17,c039,225,C
2018,s19,c055,224.8,C
2017,s17,c167,224.4,C
2014,s17,c179,224.4,C
2018,s19,c171,224.3,C
2015,s31,c137,224,C
2014,s17,c041,224,C
2017,s17,c113,223.9,C
2017,s17,c071,223.9,C
2018,s31,c081,223.8,C
2016,s46,c101,223.8,C
2019,s19,c113,223.7,C
2018,s17,c203,223.7,C
2018,s31,c019,223.6,C
2018,s17,c017,223.5,C
2018,s17,c161,223.4,C
2016,s17,c095,223.3,C
2014,s17,c139,223.3,C
2014,s17,c137,223.3,C
2017,s17,c067,222.9,C
2018,s17,c135,222.8,C
2010,s48,c421,222.8,C
2014,s17,c129,222.7,C
2014,s31,c137,222.7,C
2017,s19,c127,222.4,C
2018,s19,c031,222.3,C
2017,s19,c031,222.3,C
2018,s19,c093,222.2,C
2016,s17,c167,222.1,C
2019,s19,c127,221.9,C
2017,s19,c047,221.9,C
2017,s17,c109,221.8,C
2018,s17,c019,221.3,C
2017,s19,c019,221.3,C
2014,s17,c039,221,C
2017,s48,c421,220.9,C
2016,s48,c421,220.8,C
2017,s17,c129,220.7,C
2017,s19,c167,220.7,C
2019,s19,c161,220.6,C
2017,s19,c171,220.6,C
2015,s17,c147,220.5,C
2013,s48,c341,220.5,C
2017,s19,c183,220.4,C
2017,s17,c021,220,C
2017,s19,c163,220,C
2012,s13,c081,220,C
2017,s31,c017,219.9,C
2019,s19,c027,219.7,C
2016,s19,c035,219.7,C
2017,s31,c137,219.6,C
2018,s17,c073,219.5,C
2016,s17,c107,219.4,C
2015,s48,c421,219.4,C
2018,s19,c193,219.3,C
2019,s19,c019,218.9,C
2017,s19,c119,218.9,C
2017,s27,c165,218.9,C
2018,s17,c183,218.8,C
2018,s19,c157,218.7,C
2016,s17,c147,218.7,C
2018,s19,c099,218.6,C
2010,s48,c195,218.6,C
2014,s17,c067,218.5,C
2014,s48,c341,218.5,C
2014,s17,c113,218.3,C
2019,s19,c193,218.2,C
2016,s17,c113,218.1,C
2016,s17,c155,218.1,C
2018,s17,c057,218,C
2017,s19,c055,218,C
2019,s19,c149,217.8,C
2014,s17,c021,217.8,C
2017,s17,c073,217.6,C
2015,s48,c341,217.6,C
2018,s31,c079,217.5,C
2014,s17,c203,217.5,C
2017,s19,c113,217.4,C
2019,s19,c165,217.3,C
2017,s19,c075,217.3,C
2018,s17,c015,217.1,C
2017,s19,c105,217,C
2017,s31,c099,216.9,C
2018,s13,c115,216.7,C
2017,s17,c147,216.7,C
2017,s19,c095,216.7,C
2018,s19,c083,216.6,C
2017,s19,c115,216.6,C
2017,s17,c115,216.5,C
2014,s17,c019,216.5,C
2019,s19,c061,216.4,C
2014,s17,c187,216.1,C
2019,s19,c009,216,C
2017,s13,c253,216,C
2016,s19,c163,216,C
2016,s19,c093,216,C
2018,s17,c195,215.9,C
2012,s13,c163,215.9,C
2017,s27,c039,215.8,C
2018,s18,c067,215.7,C
2017,s19,c093,215.7,C
2016,s46,c057,215.7,C
2017,s17,c139,215.6,C
2016,s17,c123,215.6,C
2016,s17,c037,215.6,C
2018,s18,c159,215.5,C
2018,s19,c113,215.4,C
2018,s31,c001,215.4,C
2017,s17,c011,215.4,C
2018,s17,c117,215.3,C
2017,s19,c011,215.3,C
2017,s27,c043,215.3,C
2016,s19,c031,215.3,C
2016,s19,c165,215.3,C
2018,s31,c185,215.1,C
2017,s19,c157,215.1,C
2017,s19,c061,215.1,C
2018,s17,c099,215,C
2017,s27,c161,215,C
2017,s31,c081,215,C
2019,s31,c081,214.9,C
2016,s17,c115,214.9,C
2014,s18,c159,214.9,C
2017,s27,c147,214.8,C
2015,s31,c185,214.8,C
2018,s31,c099,214.7,C
2017,s13,c165,214.7,C
2016,s17,c105,214.7,C
2016,s19,c099,214.7,C
2018,s19,c011,214.6,C
2016,s17,c143,214.6,C
2016,s17,c039,214.5,C
2016,s46,c011,214.4,C
2019,s31,c137,214.3,C
2018,s19,c183,214.3,C
2016,s19,c161,214.3,C
2011,s13,c163,214.3,C
2017,s17,c203,214.2,C
2017,s27,c099,214.2,C
2018,s17,c011,214.1,C
2014,s18,c023,214.1,C
2018,s19,c163,214,C
2018,s19,c047,214,C
2018,s39,c057,214,C
2017,s27,c091,214,C
2018,s17,c123,213.9,C
2018,s18,c023,213.9,C
2018,s19,c149,213.8,C
2017,s19,c141,213.8,C
2016,s19,c045,213.8,C
2011,s13,c201,213.8,C
2017,s19,c083,213.7,C
2017,s19,c043,213.6,C
2017,s31,c185,213.6,C
2014,s18,c165,213.6,C
2018,s19,c161,213.5,C
2016,s17,c131,213.5,C
2016,s19,c047,213.5,C
2017,s19,c131,213.4,C
2018,s17,c071,213.3,C
2018,s19,c035,213.3,C
2017,s19,c045,213.3,C
2016,s19,c157,213.2,C
2018,s17,c045,213.1,C
2017,s19,c103,213.1,C
2019,s13,c243,213,C
2019,s13,c253,213,C
2018,s39,c027,213,C
2017,s17,c107,213,C
2016,s31,c017,212.9,C
2015,s31,c081,212.9,C
2012,s13,c201,212.8,C
2017,s19,c017,212.7,C
2014,s48,c195,212.7,C
2014,s17,c029,212.6,C
2019,s19,c017,212.5,C
2012,s01,c051,212.5,C
2018,s19,c017,212.4,C
2017,s17,c053,212.4,C
2016,s17,c063,212.4,C
2018,s19,c103,212.3,C
2016,s18,c171,212.3,C
2014,s48,c421,212.3,C
2013,s20,c069,212.3,C
2016,s17,c109,212.2,C
2016,s19,c167,212.2,C
2019,s19,c037,212.1,C
2018,s31,c175,212.1,C
2018,s31,c103,212.1,C
2017,s27,c045,212.1,C
2012,s13,c253,212.1,C
2015,s31,c047,212,C
2018,s19,c167,211.9,C
2017,s17,c041,211.9,C
2016,s19,c169,211.9,C
2013,s20,c119,211.9,C
2018,s19,c061,211.8,C
2018,s19,c095,211.7,C
2017,s48,c341,211.7,C
2014,s20,c069,211.7,C
2014,s20,c119,211.7,C
2017,s19,c143,211.6,C
2014,s17,c105,211.6,C
2014,s17,c109,211.6,C
2017,s27,c047,211.5,C
2017,s31,c089,211.5,C
2016,s19,c061,211.5,C
2013,s18,c161,211.5,C
2017,s19,c023,211.4,C
2018,s19,c023,211.3,C
2018,s31,c113,211.3,C
2017,s19,c027,211.3,C
2017,s27,c079,211.3,C
2016,s19,c127,211.3,C
2017,s19,c009,211.2,C
2016,s17,c177,211.2,C
2019,s31,c141,211.1,C
2017,s27,c049,211.1,C
2018,s31,c143,211,C
2018,s19,c045,210.9,C
2015,s17,c175,210.9,C
2016,s17,c089,210.8,C
2016,s17,c161,210.8,C
2017,s19,c189,210.7,C
2016,s19,c191,210.7,C
2016,s19,c141,210.7,C
2015,s31,c099,210.7,C
2016,s19,c095,210.6,C
2016,s19,c017,210.6,C
2016,s19,c155,210.4,C
2017,s17,c155,210.3,C
2016,s19,c043,210.3,C
2016,s17,c019,210.2,C
2014,s18,c027,210.2,C
2014,s37,c039,210.2,C
2019,s31,c003,210.1,C
2017,s17,c099,210.1,C
2017,s19,c063,210.1,C
2014,s48,c357,210.1,C
2018,s39,c011,210,C
2017,s27,c157,210,C
2016,s19,c057,210,C
2011,s13,c279,210,C
2017,s17,c105,209.9,C
2019,s19,c075,209.8,C
2018,s39,c101,209.7,C
2014,s29,c107,209.7,C
2018,s19,c139,209.6,C
2015,s19,c035,209.6,C
2014,s13,c071,209.6,C
2019,s19,c023,209.5,C
2017,s17,c093,209.5,C
2017,s27,c013,209.5,C
2016,s48,c341,209.5,C
2014,s18,c171,209.5,C
2017,s17,c195,209.4,C
2016,s27,c103,209.4,C
2019,s19,c099,209.3,C
2016,s17,c129,209.3,C
2019,s31,c099,209.2,C
2017,s19,c013,209.2,C
2017,s27,c131,209.2,C
2016,s19,c149,209.2,C
2018,s17,c085,209.1,C
2018,s17,c177,209.1,C
2015,s17,c041,209.1,C
2018,s13,c087,209,C
2017,s17,c103,209,C
2016,s19,c079,209,C
2014,s20,c043,209,C
2014,s31,c081,209,C
2019,s19,c035,208.9,C
2018,s19,c105,208.9,C
2017,s19,c033,208.9,C
2015,s31,c001,208.8,C
2017,s17,c063,208.7,C
2017,s31,c003,208.7,C
2018,s39,c107,208.6,C
2016,s17,c041,208.6,C
2016,s19,c107,208.6,C
2016,s27,c043,208.5,C
2018,s19,c027,208.4,C
2016,s19,c015,208.4,C
2016,s19,c171,208.4,C
2017,s17,c029,208.3,C
2014,s17,c017,208.3,C
2016,s19,c183,208.2,C
2018,s18,c035,208.1,C
2014,s17,c143,208.1,C
2019,s19,c155,208,C
2018,s17,c093,208,C
2018,s31,c167,208,C
2016,s19,c083,208,C
2016,s17,c139,207.9,C
2016,s17,c073,207.9,C
2014,s17,c071,207.9,C
2015,s17,c039,207.8,C
2018,s19,c123,207.7,C
2018,s38,c081,207.6,C
2017,s19,c065,207.6,C
2016,s17,c067,207.6,C
2016,s27,c091,207.6,C
2018,s17,c105,207.5,C
2017,s27,c033,207.5,C
2015,s17,c115,207.5,C
2015,s27,c043,207.4,C
2016,s19,c023,207.3,C
2016,s19,c025,207.3,C
2014,s17,c123,207.3,C
2019,s31,c017,207.2,C
2018,s17,c061,207.2,C
2014,s29,c195,207.2,C
2018,s19,c019,207.1,C
2018,s31,c037,207.1,C
2017,s19,c165,207.1,C
2017,s27,c129,207.1,C
2014,s17,c175,207.1,C
2017,s17,c141,207,C
2016,s17,c071,207,C
2018,s18,c063,206.9,C
2018,s27,c163,206.9,C
2017,s19,c197,206.9,C
2016,s19,c119,206.9,C
2016,s31,c047,206.9,C
2018,s18,c031,206.8,C
2017,s17,c019,206.8,C
2017,s19,c139,206.8,C
2016,s17,c093,206.8,C
2016,s19,c151,206.8,C
2015,s20,c119,206.8,C
2015,s27,c103,206.8,C
2014,s28,c151,206.8,C
2018,s18,c117,206.7,C
2016,s19,c037,206.6,C
2014,s18,c157,206.6,C
2012,s31,c137,206.6,C
2019,s31,c185,206.5,C
2019,s31,c059,206.5,C
2018,s31,c051,206.5,C
2013,s48,c421,206.5,C
2018,s18,c171,206.4,C
2018,s28,c125,206.4,C
2018,s31,c089,206.4,C
2017,s17,c045,206.4,C
2017,s28,c053,206.4,C
2016,s19,c013,206.4,C
2014,s17,c173,206.4,C
2019,s17,c167,206.3,C
